Unique_ID,Interest_5th,Interest_6th,Final_Interests,Interest,Final_Interests_7th,Interest_8th,Final_Interests_8th,Interest_9th,Final_Interests_9th,Interest_10th,Final_Interests_10th
stud_639,"Urdu, Math","Urdu, English","English, Urdu","Urdu, English","English, Urdu","History, Geography","English, Geography, History, Urdu","Urdu, English","English, Urdu","Marathi, Hindi","English, Hindi, Marathi, Urdu"
stud_640,"Science, Geography","Science, Sports","Science, Sports","Science, Sports","Science, Sports","Drawing, Math","Drawing, Math, Science, Sports","Environmental Studies, Defence","Defence, Drawing, Environmental Studies, Math, Science, Sports","English, Geometry","Defence, Drawing, English, Environmental Studies, Geometry, Math, Science, Sports"
stud_641,"Marathi, Science","Environmental Studies, Computer","Computer, Environmental Studies, Marathi, Science","Environmental Studies, Computer","Computer, Environmental Studies","Hindi, Environmental Studies","Environmental Studies, Hindi","Hindi, Computer","Computer, Hindi","Urdu, Geography","Computer, Geography, Hindi, Urdu"
stud_642,"Science, Environmental Studies","Hindi, Drawing, Environmental Studies","Drawing, Environmental Studies, Hindi","Hindi, Drawing, Environmental Studies","Drawing, Environmental Studies, Hindi","Drawing, Math","Drawing, Math","Hindi, History","Drawing, Hindi, History, Math","History, Environmental Studies","Environmental Studies, History"
stud_643,"Urdu, Computer","English, History","Computer, English, History, Urdu","English, History","English, History","Hindi, English","English, Hindi","English, Geometry","English, Geometry","Geometry, Sanskrit","Geometry, Sanskrit"
stud_644,"Hindi, Geography","Urdu, English","English, Geography, Hindi, Urdu","Urdu, English","English, Urdu","Marathi, Hindi","English, Hindi, Marathi, Urdu","Geometry, Defence","Defence, English, Geometry, Hindi, Marathi, Urdu","Hindi, Drawing","Drawing, Hindi"
stud_645,"Math, Computer","Math, Computer","Computer, Math","Math, Computer","Computer, Math","Sports, Math","Math, Sports","Urdu, Computer","Computer, Math, Sports, Urdu","English, Defence","Computer, Defence, English, Math, Sports, Urdu"
stud_646,"Science, Math","Urdu, Sports","Math, Science, Sports, Urdu","Urdu, Sports","Sports, Urdu","Geography, Computer","Computer, Geography, Sports, Urdu","Geography, Drawing","Drawing, Geography","Science, Sanskrit","Drawing, Geography, Sanskrit, Science"
stud_647,"History, Drawing, Math","Urdu, Science","Drawing, History, Math, Science, Urdu","Urdu, Science","Science, Urdu","English, Math","English, Math, Science, Urdu","Geography, Sports","English, Geography, Math, Science, Sports, Urdu","English, History, Algebra","Algebra, English, History"
stud_648,"Science, Computer","Hindi, Science","Hindi, Science","Hindi, Science","Hindi, Science","Hindi, Environmental Studies","Environmental Studies, Hindi","Marathi, Geography","Environmental Studies, Geography, Hindi, Marathi","English, Algebra","Algebra, English, Environmental Studies, Geography, Hindi, Marathi"
stud_649,"Science, Math","Sports, Computer","Computer, Math, Science, Sports","Sports, Computer","Computer, Sports","Marathi, Computer","Computer, Marathi","Marathi, History","History, Marathi","History, Defence","Defence, History"
stud_650,"Science, Environmental Studies","Hindi, History, Sports","Environmental Studies, Hindi, History, Science, Sports","Hindi, History, Sports","Hindi, History, Sports","English, Science","English, Hindi, History, Science, Sports","English, Science, Computer","Computer, English, Science","History, Drawing","Computer, Drawing, English, History, Science"
stud_651,"Marathi, Science","Hindi, Drawing","Drawing, Hindi, Marathi, Science","Hindi, Drawing","Drawing, Hindi","Sports, Environmental Studies","Drawing, Environmental Studies, Hindi, Sports","Science, Sports","Science, Sports","Urdu, Hindi","Hindi, Science, Sports, Urdu"
stud_652,"Urdu, Environmental Studies","Hindi, Science","Environmental Studies, Hindi, Science, Urdu","Hindi, Science","Hindi, Science","Hindi, Science, Computer","Computer, Hindi, Science","Geography, Defence","Computer, Defence, Geography, Hindi, Science","Hindi, English","English, Hindi"
stud_653,"Drawing, Math","Marathi, History, Geography","Drawing, Geography, History, Marathi, Math","Marathi, History, Geography","Geography, History, Marathi","History, Environmental Studies","Environmental Studies, History","Marathi, Hindi","Environmental Studies, Hindi, History, Marathi","Hindi, History","Hindi, History"
stud_654,"Urdu, Sports","Math, Computer","Computer, Math, Sports, Urdu","Math, Computer","Computer, Math","Science, Sports","Computer, Math, Science, Sports","Marathi, Algebra","Algebra, Computer, Marathi, Math, Science, Sports","Science, Drawing","Drawing, Science"
stud_655,"Environmental Studies, Math","English, Computer","Computer, English, Environmental Studies, Math","English, Computer","Computer, English","Urdu, English","English, Urdu","Marathi, Geometry","English, Geometry, Marathi, Urdu","Drawing, Sanskrit","Drawing, English, Geometry, Marathi, Sanskrit, Urdu"
stud_656,"Sports, Computer","Marathi, English, Sports","English, Marathi, Sports","Marathi, English, Sports","English, Marathi, Sports","Geography, Math","English, Geography, Marathi, Math, Sports","Urdu, Defence","Defence, English, Geography, Marathi, Math, Sports, Urdu","English, Drawing, Sports","Drawing, English, Sports"
stud_657,"Sports, Math","Marathi, English, Sports, Math","English, Marathi, Math, Sports","Marathi, English, Sports, Math","English, Marathi, Math, Sports","Science, Sports","Science, Sports","Hindi, Drawing, Defence","Defence, Drawing, Hindi, Science, Sports","Drawing, Sports","Drawing, Sports"
stud_658,"Hindi, Math","History, Science","Hindi, History, Math, Science","History, Science","History, Science","English, History, Math","English, History, Math","Science, Geography","English, Geography, History, Math, Science","English, Environmental Studies, Geometry","English, Environmental Studies, Geometry"
stud_659,"Marathi, History","Urdu, Environmental Studies, Computer","Computer, Environmental Studies, History, Marathi, Urdu","Urdu, Environmental Studies, Computer","Computer, Environmental Studies, Urdu","History, Sports, Math","Computer, Environmental Studies, History, Math, Sports, Urdu","English, Science","Computer, English, Environmental Studies, History, Math, Science, Sports, Urdu","English, History","English, History"
stud_660,"History, Geography","Urdu, English, Sports","English, Geography, History, Sports, Urdu","Urdu, English, Sports","English, Sports, Urdu","English, Sports","English, Sports","Science, Drawing","Drawing, English, Science, Sports","Geography, Algebra","Algebra, Drawing, English, Geography, Science, Sports"
stud_661,"Geography, Drawing","Sports, Math","Drawing, Geography, Math, Sports","Sports, Math","Math, Sports","Hindi, Drawing","Drawing, Hindi, Math, Sports","Geography, Environmental Studies","Drawing, Environmental Studies, Geography, Hindi, Math, Sports","English, Environmental Studies","English, Environmental Studies"
stud_662,"Marathi, Drawing","Drawing, Math","Drawing, Math","Drawing, Math","Drawing, Math","Urdu, English, History","Drawing, English, History, Math, Urdu","Geography, Sports, Environmental Studies","Drawing, English, Environmental Studies, Geography, History, Math, Sports, Urdu","Hindi, Drawing, Geometry","Drawing, Geometry, Hindi"
stud_663,"Hindi, Geography","Marathi, Science","Geography, Hindi, Marathi, Science","Marathi, Science","Marathi, Science","History, Computer","Computer, History, Marathi, Science","English, Algebra","Algebra, Computer, English, History, Marathi, Science","Hindi, Geometry","Algebra, Computer, English, Geometry, Hindi, History, Marathi, Science"
stud_664,"English, Science","Urdu, English","English, Urdu","Urdu, English","English, Urdu","Marathi, Hindi","English, Hindi, Marathi, Urdu","Urdu, Computer","Computer, Urdu","English, Defence","Computer, Defence, English, Urdu"
stud_665,"Environmental Studies, Computer","Marathi, Environmental Studies","Environmental Studies, Marathi","Marathi, Environmental Studies","Environmental Studies, Marathi","History, Math","Environmental Studies, History, Marathi, Math","Hindi, Drawing","Drawing, Environmental Studies, Hindi, History, Marathi, Math","English, Sports, Computer","Computer, Drawing, English, Environmental Studies, Hindi, History, Marathi, Math, Sports"
stud_666,"Marathi, Math","Sports, Computer","Computer, Marathi, Math, Sports","Sports, Computer","Computer, Sports","Hindi, Computer","Computer, Hindi","Geometry, Defence","Computer, Defence, Geometry, Hindi","English, Sports","Computer, Defence, English, Geometry, Hindi, Sports"
stud_667,"Geography, Environmental Studies","Marathi, Urdu","Environmental Studies, Geography, Marathi, Urdu","Marathi, Urdu","Marathi, Urdu","Urdu, Environmental Studies","Environmental Studies, Urdu","Sports, Computer","Computer, Environmental Studies, Sports, Urdu","Marathi, Computer","Computer, Marathi"
stud_668,"Geography, Drawing","Urdu, Science","Drawing, Geography, Science, Urdu","Urdu, Science","Science, Urdu","English, Geography","English, Geography, Science, Urdu","Environmental Studies, Defence","Defence, English, Environmental Studies, Geography, Science, Urdu","Geography, Sanskrit","Geography, Sanskrit"
stud_669,"Marathi, Drawing, Sports","Urdu, Hindi","Drawing, Hindi, Marathi, Sports, Urdu","Urdu, Hindi","Hindi, Urdu","Science, Math","Hindi, Math, Science, Urdu","English, History","English, Hindi, History, Math, Science, Urdu","Science, Defence","Defence, Science"
stud_670,"English, Geography","Science, Geography","Geography, Science","Science, Geography","Geography, Science","Marathi, Geography","Geography, Marathi","Drawing, Sports","Drawing, Geography, Marathi, Sports","Geography, Computer","Computer, Geography"
stud_671,"Sports, Computer","Drawing, Math","Computer, Drawing, Math, Sports","Drawing, Math","Drawing, Math","Sports, Math","Math, Sports","Geography, Geometry","Geography, Geometry, Math, Sports","English, History","English, Geography, Geometry, History, Math, Sports"
stud_672,"English, Science","Science, Environmental Studies","Environmental Studies, Science","Science, Environmental Studies","Environmental Studies, Science","Urdu, Geography","Environmental Studies, Geography, Science, Urdu","Geography, Sports","Geography, Sports","Urdu, Drawing","Drawing, Geography, Sports, Urdu"
stud_673,"English, Sports, Math","Marathi, Drawing","Drawing, English, Marathi, Math, Sports","Marathi, Drawing","Drawing, Marathi","Hindi, Geography","Drawing, Geography, Hindi, Marathi","Sports, Computer","Computer, Drawing, Geography, Hindi, Marathi, Sports","English, Defence","Computer, Defence, Drawing, English, Geography, Hindi, Marathi, Sports"
stud_674,"History, Sports","Urdu, Computer","Computer, History, Sports, Urdu","Urdu, Computer","Computer, Urdu","Science, Environmental Studies","Computer, Environmental Studies, Science, Urdu","Urdu, Science","Science, Urdu","English, Drawing, Algebra","Algebra, Drawing, English, Science, Urdu"
stud_675,"History, Drawing","Science, Drawing","Drawing, Science","Science, Drawing","Drawing, Science","Geography, Computer","Computer, Drawing, Geography, Science","Hindi, Geography","Geography, Hindi","English, Algebra","Algebra, English, Geography, Hindi"
stud_676,"English, Science","Urdu, Sports","English, Science, Sports, Urdu","Urdu, Sports","Sports, Urdu","Hindi, Geography","Geography, Hindi, Sports, Urdu","Marathi, Science","Geography, Hindi, Marathi, Science, Sports, Urdu","Drawing, Sanskrit","Drawing, Geography, Hindi, Marathi, Sanskrit, Science, Sports, Urdu"
stud_677,"Marathi, Urdu","History, Environmental Studies","Environmental Studies, History, Marathi, Urdu","History, Environmental Studies","Environmental Studies, History","Urdu, English, Geography","English, Environmental Studies, Geography, History, Urdu","Hindi, Drawing","Drawing, English, Environmental Studies, Geography, Hindi, History, Urdu","Science, Sports","Drawing, English, Environmental Studies, Geography, Hindi, History, Science, Sports, Urdu"
stud_678,"Marathi, Math","History, Geography","Geography, History, Marathi, Math","History, Geography","Geography, History","Sports, Math","Geography, History, Math, Sports","Science, Computer","Computer, Geography, History, Math, Science, Sports","Hindi, Sports","Hindi, Sports"
stud_679,"Science, Computer","History, Environmental Studies","Computer, Environmental Studies, History, Science","History, Environmental Studies","Environmental Studies, History","Drawing, Computer","Computer, Drawing, Environmental Studies, History","Algebra, Computer","Algebra, Computer","Marathi, Algebra","Algebra, Marathi"
stud_680,"Geography, Sports","History, Computer","Computer, Geography, History, Sports","History, Computer","Computer, History","History, Drawing","Drawing, History","Hindi, Geometry","Drawing, Geometry, Hindi, History","Marathi, Defence","Defence, Drawing, Geometry, Hindi, History, Marathi"
stud_681,"Urdu, Geography","History, Geography","Geography, History","History, Geography","Geography, History","History, Computer","Computer, History","Marathi, English","Computer, English, History, Marathi","Geography, Sports","Computer, English, Geography, History, Marathi, Sports"
stud_682,"Science, Sports","Marathi, Urdu, History, Drawing","Drawing, History, Marathi, Science, Sports, Urdu","Marathi, Urdu, History, Drawing","Drawing, History, Marathi, Urdu","Drawing, Math","Drawing, Math","Urdu, Geometry","Drawing, Geometry, Math, Urdu","History, Computer","Computer, Drawing, Geometry, History, Math, Urdu"
stud_683,"Hindi, History","Marathi, Science","Hindi, History, Marathi, Science","Marathi, Science","Marathi, Science","Sports, Computer","Computer, Marathi, Science, Sports","English, Sports, Environmental Studies","English, Environmental Studies, Sports","Urdu, Science","English, Environmental Studies, Science, Sports, Urdu"
stud_684,"Science, Math","Science, Geography","Geography, Science","Science, Geography","Geography, Science","Marathi, History, Computer","Computer, Geography, History, Marathi, Science","Science, Geometry, Computer","Computer, Geometry, Science","English, Environmental Studies","Computer, English, Environmental Studies, Geometry, Science"
stud_685,"Environmental Studies, Math","History, Math","History, Math","History, Math","History, Math","Hindi, Environmental Studies","Environmental Studies, Hindi, History, Math","Urdu, Computer","Computer, Environmental Studies, Hindi, History, Math, Urdu","Drawing, Computer","Computer, Drawing"
stud_686,"Urdu, History","History, Geography","Geography, History","History, Geography","Geography, History","Science, Drawing","Drawing, Geography, History, Science","Urdu, Environmental Studies","Drawing, Environmental Studies, Geography, History, Science, Urdu","Marathi, Drawing, Geometry","Drawing, Geometry, Marathi"
stud_687,"History, Environmental Studies","Urdu, Hindi, Computer","Computer, Environmental Studies, Hindi, History, Urdu","Urdu, Hindi, Computer","Computer, Hindi, Urdu","Hindi, English","English, Hindi","Geography, Environmental Studies, Geometry","English, Environmental Studies, Geography, Geometry, Hindi","Science, Sports","English, Environmental Studies, Geography, Geometry, Hindi, Science, Sports"
stud_688,"Marathi, Math, Computer","Urdu, History","Computer, History, Marathi, Math, Urdu","Urdu, History","History, Urdu","Hindi, Science","Hindi, History, Science, Urdu","Drawing, Sports","Drawing, Hindi, History, Science, Sports, Urdu","History, Algebra","Algebra, History"
stud_689,"Geography, Drawing","Sports, Math","Drawing, Geography, Math, Sports","Sports, Math","Math, Sports","Hindi, Geography","Geography, Hindi, Math, Sports","Science, Sports, Computer","Computer, Science, Sports","Urdu, Science","Science, Urdu"
stud_690,"Environmental Studies, Math","History, Math","History, Math","History, Math","History, Math","Drawing, Sports","Drawing, History, Math, Sports","History, Computer","Computer, History","Environmental Studies, Defence","Computer, Defence, Environmental Studies, History"
stud_691,"Sports, Environmental Studies","Marathi, Computer","Computer, Environmental Studies, Marathi, Sports","Marathi, Computer","Computer, Marathi","Hindi, Sports","Computer, Hindi, Marathi, Sports","Environmental Studies, Defence","Computer, Defence, Environmental Studies, Hindi, Marathi, Sports","Science, Defence","Defence, Science"
stud_692,"Hindi, Math","Science, Sports, Environmental Studies, Computer","Computer, Environmental Studies, Hindi, Math, Science, Sports","Science, Sports, Environmental Studies, Computer","Computer, Environmental Studies, Science, Sports","Science, Computer","Computer, Science","Science, Drawing, Sports","Drawing, Science, Sports","Geography, Environmental Studies","Drawing, Environmental Studies, Geography, Science, Sports"
stud_693,"Geography, Math","History, Science, Drawing","Drawing, Geography, History, Math, Science","History, Science, Drawing","Drawing, History, Science","Drawing, Sports","Drawing, Sports","Geometry, Defence","Defence, Drawing, Geometry, Sports","English, Algebra","Algebra, Defence, Drawing, English, Geometry, Sports"
stud_694,"History, Science","Urdu, Geography","Geography, History, Science, Urdu","Urdu, Geography","Geography, Urdu","Science, Math","Geography, Math, Science, Urdu","English, Geography","English, Geography","Science, Defence","Defence, English, Geography, Science"
stud_695,"Hindi, Science","Marathi, Hindi, Math","Hindi, Marathi, Math","Marathi, Hindi, Math","Hindi, Marathi, Math","History, Computer","Computer, Hindi, History, Marathi, Math","Computer, Defence","Computer, Defence","Hindi, Sports","Computer, Defence, Hindi, Sports"
stud_696,"Urdu, History","Geography, Environmental Studies","Environmental Studies, Geography, History, Urdu","Geography, Environmental Studies","Environmental Studies, Geography","Urdu, English","English, Environmental Studies, Geography, Urdu","Urdu, Drawing","Drawing, Urdu","Geography, Algebra","Algebra, Drawing, Geography, Urdu"
stud_697,"History, Sports","Urdu, Sports","Sports, Urdu","Urdu, Sports","Sports, Urdu","English, History","English, History, Sports, Urdu","Hindi, Sports","Hindi, Sports","Environmental Studies, Defence","Defence, Environmental Studies, Hindi, Sports"
stud_698,"Urdu, Science","History, Math","History, Math, Science, Urdu","History, Math","History, Math","Science, Environmental Studies","Environmental Studies, History, Math, Science","Marathi, Hindi, Geometry","Environmental Studies, Geometry, Hindi, History, Marathi, Math, Science","Hindi, History","Hindi, History"
stud_699,"English, Science, Sports","Marathi, Environmental Studies","English, Environmental Studies, Marathi, Science, Sports","Marathi, Environmental Studies","Environmental Studies, Marathi","Urdu, Computer","Computer, Environmental Studies, Marathi, Urdu","Urdu, History","History, Urdu","Drawing, Sports","Drawing, History, Sports, Urdu"
stud_700,"Marathi, Science","English, Science, Sports","English, Science, Sports","English, Science, Sports","English, Science, Sports","Marathi, Urdu","English, Marathi, Science, Sports, Urdu","Urdu, Hindi","Hindi, Urdu","Hindi, English, Science","English, Hindi, Science"
stud_701,"Science, Computer","Urdu, English, Drawing","Computer, Drawing, English, Science, Urdu","Urdu, English, Drawing","Drawing, English, Urdu","History, Math","Drawing, English, History, Math, Urdu","Sports, Algebra","Algebra, Drawing, English, History, Math, Sports, Urdu","Marathi, English, Environmental Studies","English, Environmental Studies, Marathi"
stud_702,"Hindi, History","Science, Drawing, Environmental Studies","Drawing, Environmental Studies, Hindi, History, Science","Science, Drawing, Environmental Studies","Drawing, Environmental Studies, Science","English, Computer","Computer, Drawing, English, Environmental Studies, Science","Algebra, Defence","Algebra, Computer, Defence, Drawing, English, Environmental Studies, Science","Sports, Algebra","Algebra, Sports"
stud_703,"History, Drawing, Environmental Studies","Urdu, English","Drawing, English, Environmental Studies, History, Urdu","Urdu, English","English, Urdu","History, Environmental Studies","English, Environmental Studies, History, Urdu","Marathi, History, Science, Sports","History, Marathi, Science, Sports","History, Drawing","Drawing, History"
stud_704,"Sports, Environmental Studies","English, Sports","English, Sports","English, Sports","English, Sports","Marathi, Science","English, Marathi, Science, Sports","Hindi, Sports","Hindi, Sports","Science, Sports, Sanskrit","Sanskrit, Science, Sports"
stud_705,"Marathi, Geography, Sports","English, History, Science","English, Geography, History, Marathi, Science, Sports","English, History, Science","English, History, Science","Marathi, Environmental Studies","English, Environmental Studies, History, Marathi, Science","Urdu, Geography","English, Environmental Studies, Geography, History, Marathi, Science, Urdu","Drawing, Defence","Defence, Drawing, English, Environmental Studies, Geography, History, Marathi, Science, Urdu"
stud_706,"Sports, Math","Geography, Sports","Geography, Sports","Geography, Sports","Geography, Sports","Hindi, English","English, Geography, Hindi, Sports","Marathi, Urdu","English, Geography, Hindi, Marathi, Sports, Urdu","Geography, Defence","Defence, Geography"
stud_707,"English, Science","Hindi, Environmental Studies","English, Environmental Studies, Hindi, Science","Hindi, Environmental Studies","Environmental Studies, Hindi","Marathi, Computer","Computer, Environmental Studies, Hindi, Marathi","History, Sports","Computer, Environmental Studies, Hindi, History, Marathi, Sports","Hindi, Science","Hindi, Science"
stud_708,"Urdu, Math","History, Drawing","Drawing, History, Math, Urdu","History, Drawing","Drawing, History","Marathi, English, Math","Drawing, English, History, Marathi, Math","Environmental Studies, Algebra","Algebra, Drawing, English, Environmental Studies, History, Marathi, Math","Algebra, Sanskrit","Algebra, Sanskrit"
stud_709,"Math, Computer","Science, Math","Math, Science","Science, Math","Math, Science","Geography, Drawing","Drawing, Geography, Math, Science","History, Computer","Computer, Drawing, Geography, History, Math, Science","Hindi, Sanskrit","Computer, Drawing, Geography, Hindi, History, Math, Sanskrit, Science"
stud_710,"Hindi, English","Environmental Studies, Computer","Computer, English, Environmental Studies, Hindi","Environmental Studies, Computer","Computer, Environmental Studies","Hindi, Geography","Computer, Environmental Studies, Geography, Hindi","Geography, Geometry","Geography, Geometry","Science, Environmental Studies","Environmental Studies, Geography, Geometry, Science"
stud_711,"Urdu, Science","Urdu, Math","Math, Urdu","Urdu, Math","Math, Urdu","Hindi, English","English, Hindi, Math, Urdu","Drawing, Algebra, Defence","Algebra, Defence, Drawing, English, Hindi, Math, Urdu","Sports, Geometry","Algebra, Defence, Drawing, English, Geometry, Hindi, Math, Sports, Urdu"
stud_712,"Urdu, History, Environmental Studies","Urdu, Hindi","Hindi, Urdu","Urdu, Hindi","Hindi, Urdu","History, Sports","Hindi, History, Sports, Urdu","Science, Drawing, Environmental Studies","Drawing, Environmental Studies, Hindi, History, Science, Sports, Urdu","Environmental Studies, Computer","Computer, Environmental Studies"
stud_713,"Geography, Drawing","Hindi, Math","Drawing, Geography, Hindi, Math","Hindi, Math","Hindi, Math","Marathi, Drawing","Drawing, Hindi, Marathi, Math","History, Sports","Drawing, Hindi, History, Marathi, Math, Sports","Marathi, Hindi","Hindi, Marathi"
stud_714,"Hindi, Geography","Environmental Studies, Computer","Computer, Environmental Studies, Geography, Hindi","Environmental Studies, Computer","Computer, Environmental Studies","Drawing, Math","Computer, Drawing, Environmental Studies, Math","English, Science","Computer, Drawing, English, Environmental Studies, Math, Science","Urdu, Computer","Computer, Urdu"
stud_715,"Urdu, Hindi","English, Computer","Computer, English, Hindi, Urdu","English, Computer","Computer, English","English, Science, Geography","English, Geography, Science","Geometry, Computer","Computer, English, Geography, Geometry, Science","Marathi, English","English, Marathi"
stud_716,"History, Geography, Environmental Studies","Sports, Computer","Computer, Environmental Studies, Geography, History, Sports","Sports, Computer","Computer, Sports","Urdu, Geography","Computer, Geography, Sports, Urdu","Hindi, Geometry","Computer, Geography, Geometry, Hindi, Sports, Urdu","English, Geography, Drawing","Drawing, English, Geography"
stud_717,"Urdu, Science","Marathi, English","English, Marathi, Science, Urdu","Marathi, English","English, Marathi","Sports, Environmental Studies","English, Environmental Studies, Marathi, Sports","Marathi, Sports","Marathi, Sports","Computer, Sanskrit","Computer, Marathi, Sanskrit, Sports"
stud_718,"Hindi, Geography","Urdu, English, Geography, Sports","English, Geography, Sports, Urdu","Urdu, English, Geography, Sports","English, Geography, Sports, Urdu","Hindi, Drawing, Computer","Computer, Drawing, English, Geography, Hindi, Sports, Urdu","English, Drawing, Environmental Studies, Geometry","Drawing, English, Environmental Studies, Geometry","Hindi, Drawing","Drawing, Hindi"
stud_719,"Science, Sports","Sports, Math","Math, Sports","Sports, Math","Math, Sports","Geography, Computer","Computer, Geography, Math, Sports","Urdu, Defence","Computer, Defence, Geography, Math, Sports, Urdu","Sports, Defence","Defence, Sports"
stud_720,"History, Sports","Sports, Environmental Studies","Environmental Studies, Sports","Sports, Environmental Studies","Environmental Studies, Sports","Hindi, Environmental Studies","Environmental Studies, Hindi","Geography, Sports, Geometry","Environmental Studies, Geography, Geometry, Hindi, Sports","Hindi, Defence","Defence, Hindi"
stud_721,"Environmental Studies, Computer","Urdu, Environmental Studies","Environmental Studies, Urdu","Urdu, Environmental Studies","Environmental Studies, Urdu","Marathi, Urdu, Hindi","Hindi, Marathi, Urdu","Algebra, Geometry","Algebra, Geometry, Hindi, Marathi, Urdu","Science, Algebra","Algebra, Science"
stud_722,"English, Environmental Studies","Science, Environmental Studies","Environmental Studies, Science","Science, Environmental Studies","Environmental Studies, Science","Marathi, Environmental Studies, Computer","Computer, Environmental Studies, Marathi","Urdu, Drawing","Computer, Drawing, Environmental Studies, Marathi, Urdu","Geometry, Sanskrit","Computer, Drawing, Environmental Studies, Geometry, Marathi, Sanskrit, Urdu"
stud_723,"Hindi, Science","English, Math","English, Hindi, Math, Science","English, Math","English, Math","English, Environmental Studies","English, Environmental Studies","History, Science","English, Environmental Studies, History, Science","Geometry, Computer","Computer, English, Environmental Studies, Geometry, History, Science"
stud_724,"Urdu, History","Marathi, Hindi, History, Geography, Drawing","Drawing, Geography, Hindi, History, Marathi","Marathi, Hindi, History, Geography, Drawing","Drawing, Geography, Hindi, History, Marathi","History, Geography","Geography, History","Urdu, English, Computer","Computer, English, Geography, History, Urdu","Environmental Studies, Computer","Computer, Environmental Studies"
stud_725,"Marathi, History","Marathi, Drawing","Drawing, Marathi","Marathi, Drawing","Drawing, Marathi","Marathi, Urdu","Marathi, Urdu","Hindi, Environmental Studies","Environmental Studies, Hindi, Marathi, Urdu","Science, Computer, Defence","Computer, Defence, Environmental Studies, Hindi, Marathi, Science, Urdu"
stud_726,"History, Computer","Sports, Math","Computer, History, Math, Sports","Sports, Math","Math, Sports","Urdu, Environmental Studies","Environmental Studies, Math, Sports, Urdu","Marathi, Geometry","Environmental Studies, Geometry, Marathi, Math, Sports, Urdu","Marathi, Sports","Marathi, Sports"
stud_727,"Urdu, English, Environmental Studies","Geography, Drawing","Drawing, English, Environmental Studies, Geography, Urdu","Geography, Drawing","Drawing, Geography","Marathi, Urdu","Drawing, Geography, Marathi, Urdu","Science, Geography","Geography, Science","Environmental Studies, Algebra","Algebra, Environmental Studies, Geography, Science"
stud_728,"Marathi, Computer","Marathi, English","English, Marathi","Marathi, English","English, Marathi","English, Math","English, Math","Sports, Algebra","Algebra, English, Math, Sports","History, Drawing","Algebra, Drawing, English, History, Math, Sports"
stud_729,"Hindi, Science","Hindi, English, Sports","English, Hindi, Sports","Hindi, English, Sports","English, Hindi, Sports","Hindi, English, Sports","English, Hindi, Sports","Urdu, Sports","Sports, Urdu","Drawing, Environmental Studies","Drawing, Environmental Studies, Sports, Urdu"
stud_730,"English, Environmental Studies","Urdu, English, Drawing, Environmental Studies","Drawing, English, Environmental Studies, Urdu","Urdu, English, Drawing, Environmental Studies","Drawing, English, Environmental Studies, Urdu","Marathi, Geography","Drawing, English, Environmental Studies, Geography, Marathi, Urdu","Geography, Defence","Defence, Geography","Hindi, Defence","Defence, Hindi"
stud_731,"English, Science","Geography, Sports, Computer","Computer, English, Geography, Science, Sports","Geography, Sports, Computer","Computer, Geography, Sports","English, Geography","English, Geography","Science, Algebra","Algebra, English, Geography, Science","Algebra, Computer, Sanskrit","Algebra, Computer, Sanskrit"
stud_732,"Urdu, Drawing","Urdu, Science","Science, Urdu","Urdu, Science","Science, Urdu","English, Environmental Studies","English, Environmental Studies, Science, Urdu","Environmental Studies, Geometry","Environmental Studies, Geometry","Geography, Environmental Studies","Environmental Studies, Geography"
stud_733,"Hindi, Sports","History, Computer","Computer, Hindi, History, Sports","History, Computer","Computer, History","Hindi, Math","Computer, Hindi, History, Math","Environmental Studies, Algebra","Algebra, Computer, Environmental Studies, Hindi, History, Math","Science, Environmental Studies","Environmental Studies, Science"
stud_734,"History, Computer","Environmental Studies, Math","Computer, Environmental Studies, History, Math","Environmental Studies, Math","Environmental Studies, Math","English, Math","English, Math","Urdu, English, Science, Algebra","Algebra, English, Science, Urdu","Geography, Geometry","Algebra, English, Geography, Geometry, Science, Urdu"
stud_735,"Hindi, Geography, Computer","English, History","Computer, English, Geography, Hindi, History","English, History","English, History","Hindi, Geography","English, Geography, Hindi, History","Marathi, English, Geography, Drawing","Drawing, English, Geography, Marathi","Urdu, Sanskrit","Drawing, English, Geography, Marathi, Sanskrit, Urdu"
stud_736,"Marathi, Urdu, History","Hindi, Environmental Studies","Environmental Studies, Hindi, History, Marathi, Urdu","Hindi, Environmental Studies","Environmental Studies, Hindi","English, Environmental Studies","English, Environmental Studies","Algebra, Computer","Algebra, Computer, English, Environmental Studies","English, Sanskrit","English, Sanskrit"
stud_737,"Drawing, Computer","Geography, Math","Computer, Drawing, Geography, Math","Geography, Math","Geography, Math","Marathi, Sports","Geography, Marathi, Math, Sports","Science, Computer","Computer, Geography, Marathi, Math, Science, Sports","Drawing, Environmental Studies","Computer, Drawing, Environmental Studies, Geography, Marathi, Math, Science, Sports"
stud_738,"Urdu, Geography","Geography, Drawing","Drawing, Geography","Geography, Drawing","Drawing, Geography","Hindi, English, History","Drawing, English, Geography, Hindi, History","Hindi, Science","Hindi, Science","Marathi, History, Computer","Computer, Hindi, History, Marathi, Science"
stud_739,"Science, Environmental Studies","Drawing, Computer","Computer, Drawing, Environmental Studies, Science","Drawing, Computer","Computer, Drawing","Geography, Computer","Computer, Geography","English, Drawing","Computer, Drawing, English, Geography","Science, Geography","Geography, Science"
