Unique_ID,Marathi_Overall_Growth,Urdu_Overall_Growth,Hindi_Overall_Growth,English_Overall_Growth,History_Overall_Growth,Science_Overall_Growth,Geography_Overall_Growth,Drawing_Overall_Growth,Sports_Overall_Growth,Environmental Studies_Overall_Growth,Math_Overall_Growth,Computer_Overall_Growth,Algebra_Overall_Growth,Geometry_Overall_Growth,Defence_Overall_Growth
stud_1889,0.4,19.0,0.0,-3.2,-1.6,-7.8,13.2,0.2,-6.0,4.4,-5.333333333333333,3.6,-35.0,49.0,44.0
stud_1890,-3.0,-11.8,-12.0,15.4,-0.2,11.2,-10.8,3.8,-6.4,3.0,21.0,-14.8,-23.0,20.0,-23.0
stud_1891,13.6,0.8,-7.6,4.4,-7.8,-11.0,0.6,1.8,3.2,-8.2,-28.333333333333332,-13.2,-36.0,18.0,-26.0
stud_1892,-14.0,3.2,4.2,-12.4,-6.2,-5.0,19.0,2.0,8.2,-6.4,5.666666666666667,-10.8,-35.0,-49.0,6.0
stud_1893,-7.4,-11.6,0.4,-12.0,-2.6,-2.2,-2.4,16.0,4.2,-6.8,-15.333333333333334,6.2,-27.0,74.0,84.0
stud_1894,-7.6,-7.8,7.8,3.0,16.6,-4.8,10.0,13.6,11.0,-14.0,2.6666666666666665,-1.0,34.0,-12.0,6.0
stud_1895,-1.8,0.8,-5.8,-11.8,-9.0,4.4,-4.0,-4.6,13.0,-13.6,3.0,7.4,-23.0,94.0,-73.0
stud_1896,-4.8,-2.2,3.4,11.2,1.8,-5.6,2.2,-1.4,15.6,4.8,28.0,14.8,31.0,-13.0,-44.0
stud_1897,-1.4,-8.8,7.2,16.0,-5.8,13.2,10.2,-0.6,-4.8,-0.6,-3.6666666666666665,1.8,34.0,-69.0,14.0
stud_1898,6.0,-6.2,-5.8,11.6,-6.0,5.8,-1.2,-11.6,13.8,-15.6,3.6666666666666665,-10.6,24.0,-30.0,-30.0
stud_1899,-7.2,-0.8,0.2,-4.0,-1.2,-11.6,-1.2,-10.2,-13.4,6.8,-2.0,0.4,23.0,12.0,9.0
stud_1900,-11.8,11.0,10.2,1.0,-1.8,-8.2,4.6,-6.6,15.6,7.6,14.666666666666666,6.4,-45.0,-27.0,14.0
stud_1901,-12.8,2.4,4.6,2.0,11.2,4.6,-10.8,-0.2,-14.8,7.2,-13.0,-14.0,-3.0,51.0,-37.0
stud_1902,5.0,-3.0,5.0,1.2,2.4,0.0,-13.4,11.0,-4.4,3.6,-0.6666666666666666,-4.6,26.0,-90.0,10.0
stud_1903,-12.0,12.2,10.0,4.6,12.8,7.0,5.2,-1.8,-3.8,-15.6,6.333333333333333,-2.6,30.0,4.0,-25.0
stud_1904,-8.6,9.0,10.0,15.2,-0.8,5.8,18.8,-6.0,-9.6,-0.8,8.0,-2.0,55.0,-43.0,-37.0
stud_1905,-8.4,2.0,17.2,5.6,1.4,-6.8,-12.4,-0.2,-5.6,-4.6,-3.0,-8.2,-48.0,26.0,-28.0
stud_1906,8.2,6.8,16.4,-12.8,-10.6,16.4,8.2,-2.8,-6.4,13.4,1.3333333333333333,-7.6,-65.0,86.0,-55.0
stud_1907,-6.4,5.0,-7.4,17.6,0.0,0.2,-1.2,7.6,6.4,8.0,-20.0,0.8,92.0,63.0,2.0
stud_1908,-12.4,0.6,-17.8,-1.4,-10.2,-1.2,-3.6,-5.4,11.0,-14.0,4.666666666666667,14.2,-18.0,19.0,-74.0
stud_1909,4.0,5.4,8.2,-0.8,8.8,7.4,-7.0,14.4,4.0,-0.8,12.0,1.4,-46.0,61.0,21.0
stud_1910,11.6,6.4,-8.4,7.8,3.2,2.4,-3.6,-4.8,-7.8,-5.0,9.666666666666666,-6.2,-17.0,-7.0,-38.0
stud_1911,10.2,9.4,-8.6,-13.6,18.6,-8.4,-10.0,-0.8,16.2,-6.6,-12.333333333333334,-11.6,4.0,-9.0,-30.0
stud_1912,14.6,-1.2,-11.8,10.6,12.6,-11.0,-1.0,7.8,4.0,-5.2,20.333333333333332,-2.0,11.0,-45.0,-57.0
stud_1913,4.0,-4.6,-4.0,-3.4,3.6,11.6,3.6,-4.2,-5.6,8.4,16.0,-6.8,-17.0,-29.0,28.0
stud_1914,-2.4,10.0,10.0,1.0,13.4,3.4,1.6,-14.2,-7.6,4.0,-24.666666666666668,-0.6,2.0,4.0,-27.0
stud_1915,-11.4,12.4,5.4,0.2,0.6,1.0,14.8,8.0,-13.4,18.8,-0.6666666666666666,-4.6,36.0,-11.0,32.0
stud_1916,7.0,-2.4,-4.2,6.0,-13.0,6.4,-6.2,4.8,-11.6,-13.2,11.0,-7.8,4.0,-46.0,45.0
stud_1917,3.2,-6.6,13.0,-9.4,3.0,8.6,-7.2,-1.6,-1.4,2.8,22.0,12.6,-10.0,13.0,38.0
stud_1918,-4.6,7.6,-7.6,15.0,1.6,-4.2,0.8,2.4,2.8,-14.0,7.333333333333333,-2.4,31.0,-63.0,45.0
stud_1919,-2.2,4.0,7.0,-1.8,-9.8,14.0,-0.4,-7.8,-6.6,-16.0,-0.6666666666666666,-10.6,8.0,70.0,-3.0
stud_1920,2.8,-1.8,15.4,4.8,-5.0,-0.8,-4.8,8.6,-14.0,3.6,-2.6666666666666665,-4.4,-79.0,87.0,17.0
stud_1921,-2.8,1.2,-12.0,-5.4,7.2,-11.0,1.4,-4.6,-1.0,11.0,13.666666666666666,-7.0,10.0,17.0,71.0
stud_1922,-4.2,0.6,-11.2,-9.4,14.6,-0.2,2.6,6.4,4.2,-16.8,-9.666666666666666,-7.8,-19.0,37.0,-30.0
stud_1923,-6.8,-3.4,-5.4,-5.0,3.0,-18.2,-6.0,7.0,2.0,3.6,-17.0,0.2,10.0,-8.0,21.0
stud_1924,15.6,1.6,2.8,-5.8,8.8,16.4,15.6,1.0,-5.8,-3.0,14.666666666666666,5.4,38.0,41.0,-27.0
stud_1925,6.2,-3.6,-13.8,-0.8,11.6,5.0,0.8,-13.4,1.4,6.4,-1.3333333333333333,-1.8,30.0,13.0,35.0
stud_1926,-9.0,4.0,7.2,3.6,-9.0,-0.4,13.0,-8.8,-5.0,-15.2,9.333333333333334,-1.2,31.0,-18.0,1.0
stud_1927,-5.4,1.2,-3.2,16.2,-4.0,-1.2,11.8,-7.6,4.8,0.2,9.333333333333334,-8.2,43.0,2.0,-81.0
stud_1928,0.8,-1.0,-12.0,14.6,1.4,-4.6,-2.2,12.4,-17.0,10.4,-19.0,-4.8,10.0,-13.0,62.0
stud_1929,1.0,6.8,-2.6,-6.8,-1.2,6.8,5.8,-1.6,2.4,5.4,0.0,-3.2,12.0,74.0,-18.0
stud_1930,13.4,2.2,2.2,11.6,-8.6,-8.6,-15.4,-1.2,-1.4,-4.6,1.0,-4.0,12.0,40.0,-10.0
stud_1931,4.0,5.2,-12.8,3.4,3.8,-3.8,13.4,-3.6,-4.8,-6.4,30.0,11.0,47.0,-22.0,70.0
stud_1932,-15.2,6.0,-5.2,1.4,-0.4,0.4,1.8,7.8,-15.4,9.4,-18.333333333333332,7.0,-19.0,-2.0,-8.0
stud_1933,-4.8,2.6,-6.6,-4.8,-18.6,-2.0,8.4,-12.6,8.6,0.2,11.333333333333334,-4.6,-10.0,29.0,-10.0
stud_1934,0.4,1.4,4.0,9.6,-12.2,-10.4,9.0,-13.4,-4.0,-2.0,-26.0,-13.8,-44.0,-71.0,-29.0
stud_1935,4.0,9.0,-2.0,-4.0,15.2,12.6,-2.4,11.4,8.2,-13.6,6.666666666666667,3.8,-75.0,-5.0,-25.0
stud_1936,-2.4,-3.0,-0.4,-9.8,0.8,-4.6,-0.8,14.8,-5.6,-9.2,-19.0,7.8,1.0,-16.0,-38.0
stud_1937,-1.8,3.2,6.4,-6.2,2.8,-3.4,3.6,7.6,-8.8,-4.6,-7.0,-14.8,-71.0,28.0,49.0
stud_1938,17.4,2.8,-11.2,-0.4,11.8,-2.6,-7.8,0.6,9.6,0.6,9.666666666666666,-1.6,-84.0,35.0,-51.0
stud_1939,-5.2,-4.4,0.8,-10.6,-14.6,-11.4,0.0,6.4,-3.0,-2.6,8.0,-4.0,-9.0,-14.0,-33.0
stud_1940,-4.4,9.8,6.0,-14.2,3.8,-2.8,-10.6,4.8,4.0,-10.0,7.333333333333333,-1.8,69.0,-10.0,-11.0
stud_1941,5.0,1.4,-2.6,-7.4,8.6,2.8,-12.4,9.6,-4.6,3.2,21.333333333333332,-9.0,64.0,3.0,-73.0
stud_1942,-3.0,3.4,-11.6,13.4,-11.6,-2.8,-1.6,-4.0,3.8,7.2,-26.333333333333332,-1.8,-37.0,-35.0,24.0
stud_1943,4.2,2.0,0.2,3.2,2.0,5.6,2.2,3.4,2.8,8.8,-14.0,9.4,25.0,41.0,-70.0
stud_1944,4.0,16.0,-8.8,3.0,-6.0,-7.2,-4.2,3.8,-11.6,-2.0,-7.666666666666667,-7.4,58.0,61.0,43.0
stud_1945,-1.8,-2.2,1.2,-0.6,13.2,-6.0,-1.0,6.4,0.2,16.6,-10.333333333333334,2.2,48.0,84.0,-31.0
stud_1946,2.4,-2.6,4.4,12.6,0.2,3.0,12.8,-8.4,-8.6,8.8,-18.333333333333332,-2.0,27.0,-32.0,-47.0
stud_1947,-12.6,1.2,-12.6,7.0,10.4,-16.2,3.4,-0.4,-12.2,3.0,1.0,-8.6,3.0,-42.0,-37.0
stud_1948,-18.0,-10.2,-15.0,-0.8,3.2,7.4,1.2,-1.0,-1.6,-6.0,19.0,-13.2,-65.0,21.0,-18.0
stud_1949,6.8,1.2,-6.4,-3.2,13.0,-5.0,5.4,-7.6,3.4,10.4,4.666666666666667,2.4,-29.0,21.0,-20.0
stud_1950,-2.6,5.6,6.2,5.6,-10.6,3.0,5.8,-1.0,10.8,3.8,22.666666666666668,6.2,-45.0,6.0,-37.0
stud_1951,9.4,-12.2,7.8,-2.2,-8.8,7.8,-11.4,1.4,-2.8,-7.6,1.0,12.4,5.0,-35.0,-43.0
stud_1952,3.8,-19.4,11.2,7.0,7.2,-4.6,-16.6,1.4,1.0,8.2,17.0,-6.8,59.0,30.0,-39.0
stud_1953,13.6,7.2,6.4,17.6,2.0,-10.0,13.4,2.0,-12.4,10.2,-2.3333333333333335,-4.0,-41.0,-71.0,-71.0
stud_1954,6.6,11.6,0.8,7.6,1.0,-2.4,-9.0,14.6,3.4,10.0,-18.333333333333332,6.0,-40.0,84.0,-31.0
stud_1955,-8.8,8.8,-14.2,7.6,-7.6,0.0,2.6,6.0,-14.0,3.4,21.666666666666668,10.4,5.0,92.0,-35.0
stud_1956,5.8,-9.2,-2.2,0.0,11.6,-12.4,5.4,-2.8,-4.6,-7.2,-8.666666666666666,-0.2,-39.0,-56.0,21.0
stud_1957,-2.6,-2.2,-4.4,1.2,-14.0,-0.8,-7.8,2.8,-0.4,-7.6,-4.333333333333333,6.6,-9.0,-8.0,-15.0
stud_1958,7.6,19.2,15.6,7.4,-7.2,-3.4,0.8,-13.4,4.8,-9.4,2.6666666666666665,0.2,4.0,-8.0,18.0
stud_1959,-5.8,-12.8,-2.6,11.6,16.8,7.2,-1.4,-6.8,2.2,5.2,16.0,-3.2,-21.0,45.0,-5.0
stud_1960,-1.8,7.2,-1.2,12.2,1.8,8.4,-6.4,12.6,5.2,0.4,-0.6666666666666666,-4.6,-18.0,-28.0,-35.0
stud_1961,-0.4,5.8,13.4,5.6,-9.0,-12.8,2.0,3.0,1.0,7.6,28.0,14.0,32.0,7.0,-64.0
stud_1962,-11.6,-12.2,12.0,-2.8,14.0,-9.4,-7.8,-11.0,8.6,11.8,9.0,-0.8,22.0,-5.0,39.0
stud_1963,11.8,-5.8,17.4,17.0,-16.6,14.0,2.6,-7.8,12.2,0.2,20.0,4.0,-54.0,1.0,5.0
stud_1964,-2.0,-4.6,-7.2,-12.2,3.2,-8.0,11.4,-9.0,8.8,-0.2,-13.333333333333334,-13.4,9.0,27.0,52.0
stud_1965,3.6,-13.2,-18.0,-2.2,1.0,9.4,-9.8,0.4,-8.8,-14.6,-12.666666666666666,11.6,6.0,40.0,-23.0
stud_1966,2.0,-3.2,5.2,8.6,-1.0,9.6,13.6,-8.0,-6.8,-3.2,-3.3333333333333335,3.8,-3.0,19.0,-6.0
stud_1967,10.4,-15.0,-1.8,-1.6,4.8,-5.4,8.2,-3.0,2.0,-7.4,4.0,5.8,-17.0,30.0,21.0
stud_1968,-3.2,-4.0,-2.4,15.0,-15.8,13.8,5.4,0.0,10.0,-15.0,16.666666666666668,-9.6,31.0,66.0,46.0
stud_1969,-1.2,-8.8,-12.4,-5.4,-17.0,12.4,-3.6,-8.4,-1.4,0.2,-7.0,-5.0,63.0,-36.0,-12.0
stud_1970,-12.2,-2.0,15.2,9.6,5.0,-2.2,5.2,-7.2,-8.2,12.0,10.666666666666666,3.0,-65.0,42.0,32.0
stud_1971,-1.2,6.2,-8.0,12.4,8.2,-4.6,-4.0,-9.8,-13.2,-14.2,27.0,-12.0,9.0,-3.0,-59.0
stud_1972,8.0,0.2,-1.4,-12.4,13.2,-13.0,3.0,14.2,10.2,4.8,5.333333333333333,-2.6,35.0,-10.0,-25.0
stud_1973,-9.6,6.0,-0.2,-4.8,1.4,0.8,-4.6,6.4,18.6,10.0,-24.0,1.0,-17.0,54.0,1.0
stud_1974,6.6,15.4,-1.2,3.2,4.0,-6.0,4.0,-6.6,-10.6,4.6,5.0,1.4,1.0,63.0,35.0
stud_1975,1.0,1.6,5.6,-12.6,2.6,11.6,10.4,-19.0,-17.4,-15.8,-25.333333333333332,13.6,57.0,30.0,4.0
stud_1976,19.6,0.2,3.6,2.6,3.8,15.0,8.2,-0.2,6.8,2.4,0.6666666666666666,-8.2,28.0,-50.0,-66.0
stud_1977,5.8,-10.8,10.2,-2.4,5.8,-7.8,0.8,12.8,14.8,-4.6,21.666666666666668,6.4,4.0,-47.0,27.0
stud_1978,-17.0,-0.4,7.6,-2.8,-3.0,4.0,-12.2,13.0,1.4,-1.0,-5.0,0.8,37.0,-73.0,-14.0
stud_1979,-1.6,-5.4,10.6,-12.4,-13.0,3.0,3.2,-4.6,0.0,5.2,-3.0,14.0,-23.0,-36.0,4.0
stud_1980,7.4,-7.6,-5.8,8.4,-0.6,-6.4,-6.4,-16.2,12.2,-9.2,2.0,-0.8,-16.0,-20.0,89.0
stud_1981,0.4,1.2,-8.2,1.8,3.6,-16.0,15.0,12.4,2.6,3.0,-4.333333333333333,-4.0,12.0,3.0,42.0
stud_1982,-12.8,-16.0,-0.6,-7.6,-7.4,-14.8,3.6,4.8,-7.0,-1.6,-13.0,-1.2,34.0,71.0,28.0
stud_1983,13.4,8.2,-12.4,4.8,16.6,-12.8,-9.2,2.2,7.4,-6.6,7.0,12.0,-11.0,29.0,54.0
stud_1984,10.6,2.8,1.2,-1.2,-9.2,-15.6,13.8,4.2,-2.2,4.4,-13.0,-10.4,-54.0,64.0,-5.0
stud_1985,-8.0,1.0,-0.4,-14.4,14.8,-1.0,4.2,11.6,-2.2,-1.0,-4.0,-7.4,-12.0,17.0,11.0
stud_1986,12.2,-7.4,13.0,-11.6,6.6,6.8,4.8,-8.2,-6.6,9.6,-25.666666666666668,-7.6,-2.0,-78.0,20.0
stud_1987,-6.2,-6.2,-3.6,10.4,2.0,-7.2,4.2,4.2,-14.6,9.4,19.0,-13.0,-69.0,10.0,-55.0
stud_1988,-2.8,-0.2,-3.2,-13.0,9.4,12.2,5.2,7.0,-13.2,-2.4,23.666666666666668,3.4,97.0,-54.0,-87.0
stud_1989,-14.4,-10.8,3.4,-10.8,9.0,8.0,-3.2,-3.2,-4.2,6.6,-3.0,-4.6,-34.0,-5.0,-25.0
stud_1990,9.4,-11.6,2.0,-15.8,-4.8,-3.0,1.4,3.6,0.6,-0.6,2.0,7.6,-31.0,-41.0,-69.0
stud_1991,11.6,11.6,-10.8,4.0,0.8,7.4,8.2,-10.8,-3.8,-4.4,9.666666666666666,4.0,52.0,-24.0,4.0
stud_1992,-0.4,-7.8,9.0,-0.2,7.4,7.0,11.0,1.0,-0.8,4.6,-4.666666666666667,10.6,-31.0,6.0,35.0
stud_1993,-16.2,0.0,2.8,6.8,-2.2,-8.4,-12.4,-15.4,-6.0,-3.0,4.0,17.0,0.0,1.0,-60.0
stud_1994,-6.4,3.0,7.0,1.4,-5.4,11.4,-7.8,-8.8,12.6,2.0,14.666666666666666,2.4,-8.0,22.0,59.0
stud_1995,-1.8,2.4,16.6,-1.4,-10.0,4.8,-7.4,1.2,12.2,-11.0,24.333333333333332,-3.6,14.0,-17.0,2.0
stud_1996,-7.8,-6.0,15.4,13.0,-2.8,-3.6,6.6,-8.4,2.4,10.2,-15.666666666666666,-5.0,-63.0,38.0,34.0
stud_1997,13.4,-10.6,4.2,14.2,17.8,-0.8,-0.8,-5.8,-0.6,4.2,-19.333333333333332,-4.0,-26.0,-11.0,-81.0
stud_1998,-13.0,-10.0,-3.0,-2.2,-0.8,-2.0,5.6,11.8,-2.8,8.6,-13.666666666666666,-15.4,-25.0,32.0,-68.0
stud_1999,16.0,-10.0,-4.0,1.2,-7.4,2.2,5.6,-6.2,5.0,5.8,-19.666666666666668,1.4,32.0,-23.0,-7.0
stud_2000,-5.2,11.0,11.6,-1.8,9.8,2.4,-18.6,-7.6,-1.0,10.2,-20.666666666666668,-1.2,-62.0,-12.0,-14.0
stud_2001,14.6,6.8,18.4,16.6,-11.0,-9.0,8.2,-11.0,-9.4,-10.6,-23.0,4.8,11.0,4.0,14.0
stud_2002,-6.4,2.6,3.2,6.8,14.2,-12.0,8.8,-0.8,5.6,1.2,1.6666666666666667,-10.6,-46.0,-27.0,3.0
stud_2003,3.4,-2.2,-14.6,6.8,3.2,11.8,-3.4,-2.8,4.4,5.6,1.3333333333333333,4.4,-44.0,10.0,-70.0
stud_2004,-3.2,0.4,-10.8,6.4,-17.2,-5.4,-1.2,-12.8,-5.0,-13.8,24.0,-4.2,21.0,14.0,-17.0
stud_2005,0.0,-3.4,17.6,-8.4,1.8,5.6,-11.2,5.8,-3.0,4.0,25.333333333333332,5.0,17.0,58.0,16.0
stud_2006,-12.2,3.0,0.4,-13.4,-6.0,-4.2,-7.4,-0.8,7.8,4.6,13.0,9.8,-7.0,-12.0,-20.0
stud_2007,-1.4,-13.8,-10.2,-9.8,-0.4,-10.2,-2.2,1.4,2.6,6.8,-6.0,11.6,11.0,10.0,1.0
stud_2008,-5.6,-0.2,-5.4,-2.2,5.8,5.2,-1.2,-7.2,-4.0,5.8,-10.333333333333334,2.6,-48.0,-46.0,-16.0
stud_2009,8.0,-6.2,-5.2,10.2,2.2,-2.8,-8.0,-6.4,-12.8,-10.2,3.6666666666666665,-14.4,42.0,9.0,-46.0
stud_2010,13.0,-1.4,-7.8,7.2,-1.2,-3.8,14.4,-11.4,8.2,-2.2,21.0,-3.8,-86.0,-27.0,-13.0
stud_2011,-3.2,-0.8,-6.2,-5.6,6.2,1.0,-1.2,-3.4,-17.2,-0.4,-13.0,-13.4,25.0,51.0,-17.0
stud_2012,-2.0,4.0,1.2,-3.0,-0.2,-7.8,1.0,7.2,11.2,1.0,10.0,-2.0,28.0,-93.0,-57.0
stud_2013,16.2,2.0,3.2,4.0,-6.6,6.6,-4.4,1.0,4.0,0.8,30.333333333333332,-10.2,69.0,33.0,-27.0
stud_2014,9.4,17.4,5.0,1.6,-3.6,-11.8,-10.4,0.6,-1.0,-9.0,-6.333333333333333,0.0,4.0,49.0,-9.0
stud_2015,-9.8,-5.0,-0.8,1.6,14.0,-2.8,-5.6,3.2,-11.0,-0.8,19.666666666666668,-4.0,5.0,27.0,54.0
stud_2016,-12.2,0.8,4.8,-10.2,0.0,-12.0,-0.6,5.0,-6.2,5.8,21.333333333333332,2.4,35.0,10.0,78.0
stud_2017,10.4,-9.2,-13.0,0.0,-17.8,7.0,-11.8,-6.6,2.0,-7.2,-21.0,13.4,40.0,6.0,-93.0
stud_2018,-7.2,-4.4,-8.8,-1.6,-1.8,3.6,3.2,1.4,-16.2,-11.2,-6.666666666666667,-6.0,25.0,-17.0,-66.0
stud_2019,11.0,0.0,19.2,-9.0,-5.8,-1.2,8.4,6.4,2.4,-7.6,7.0,0.2,-12.0,-55.0,24.0
stud_2020,4.0,4.4,-7.2,0.4,2.0,9.2,-3.0,15.4,-3.8,6.6,-7.333333333333333,1.6,-40.0,-77.0,37.0
stud_2021,-2.2,-3.0,-1.2,5.6,10.2,-1.4,18.0,7.2,-4.8,3.2,-15.333333333333334,-3.8,-43.0,-67.0,13.0
stud_2022,-2.8,-7.4,-15.2,10.8,-3.6,18.2,-0.6,5.8,2.8,1.0,15.333333333333334,6.8,-40.0,34.0,-4.0
stud_2023,-11.0,-0.8,-11.8,2.2,-18.0,-4.2,-7.8,6.4,-10.4,13.8,16.333333333333332,13.8,-48.0,-20.0,25.0
stud_2024,7.6,4.0,-5.2,9.6,-12.2,5.8,-12.0,11.4,-3.2,9.4,3.3333333333333335,1.4,-64.0,17.0,26.0
stud_2025,-7.6,-11.4,-6.8,2.8,-6.2,-0.2,12.6,-13.2,-1.6,-0.4,-14.666666666666666,3.6,75.0,-46.0,-8.0
stud_2026,9.0,-0.6,-8.8,-4.6,-8.4,7.4,0.2,-3.8,10.8,8.0,13.0,-0.4,73.0,-88.0,56.0
stud_2027,-8.6,-0.4,-13.8,18.6,10.2,-5.8,-17.4,8.6,-5.6,7.8,28.333333333333332,0.6,-17.0,86.0,13.0
stud_2028,1.6,-18.4,0.6,-9.0,1.8,-3.0,-5.2,12.8,4.4,-6.6,-19.0,-6.2,59.0,25.0,-5.0
stud_2029,-13.8,16.2,-11.0,10.8,9.4,0.8,-5.2,-13.0,-3.2,2.8,5.333333333333333,-2.8,60.0,23.0,-38.0
stud_2030,-6.4,3.6,2.4,8.2,-3.2,-9.0,10.0,6.6,-1.8,5.8,-14.333333333333334,-1.8,44.0,21.0,56.0
stud_2031,1.0,-17.0,5.6,6.4,4.2,-1.0,7.0,9.2,4.8,-2.0,-15.666666666666666,7.8,-6.0,29.0,-16.0
stud_2032,-9.2,3.8,-4.2,9.6,14.0,5.2,-9.4,-2.6,-5.4,12.2,-8.333333333333334,-14.0,33.0,-18.0,5.0
stud_2033,6.4,0.2,-16.6,9.4,-12.6,1.0,-6.4,-5.4,5.0,3.0,2.0,-1.2,6.0,-5.0,41.0
stud_2034,14.0,-0.4,-6.8,-3.2,6.8,-4.2,-14.0,-0.2,7.4,8.6,-15.666666666666666,1.6,83.0,-54.0,-81.0
stud_2035,-4.0,1.6,17.4,-0.6,0.0,1.0,13.4,6.4,1.6,-11.0,-1.0,-18.2,1.0,-24.0,-90.0
stud_2036,-11.8,-6.4,-5.0,-3.8,0.8,-12.6,-1.6,12.8,-4.4,2.8,-3.3333333333333335,10.0,-53.0,22.0,14.0
stud_2037,3.8,0.2,0.6,-14.8,-10.8,6.2,4.8,-3.0,-1.6,5.0,-0.6666666666666666,-7.0,19.0,56.0,36.0
stud_2038,8.0,-1.8,5.6,6.2,3.4,6.6,6.4,11.0,1.6,12.0,-16.333333333333332,-8.2,5.0,1.0,18.0
stud_2039,8.6,-1.0,1.6,-3.2,-16.4,3.4,-8.2,-5.0,-10.0,1.0,15.0,0.2,-86.0,-36.0,-42.0
stud_2040,5.0,5.2,-8.0,8.6,-7.0,-4.8,7.4,7.6,15.6,-7.6,18.0,5.6,41.0,53.0,53.0
stud_2041,-2.4,-16.6,10.6,6.2,0.6,-8.8,-5.8,-2.2,-4.4,0.6,-28.0,16.8,-67.0,8.0,-71.0
stud_2042,-9.4,-6.2,-12.4,-0.6,-2.6,-4.6,10.0,-1.4,-11.2,12.8,7.666666666666667,12.4,6.0,43.0,-77.0
stud_2043,-4.8,12.0,11.2,-4.0,16.4,-7.2,5.8,-10.8,17.0,-0.2,-4.666666666666667,11.6,43.0,13.0,12.0
stud_2044,-9.8,-7.0,7.2,-4.6,-16.6,-8.4,-5.6,4.2,1.8,-8.6,-3.3333333333333335,-9.6,-42.0,1.0,5.0
stud_2045,2.4,9.2,1.6,-6.0,6.8,4.6,-6.8,-10.8,-14.2,0.4,4.333333333333333,5.8,-68.0,57.0,0.0
stud_2046,-7.6,14.6,11.0,-6.4,-3.2,5.2,7.0,-13.4,-2.2,1.6,-2.0,9.4,-36.0,-59.0,-61.0
stud_2047,4.8,-10.2,-6.4,-9.2,9.6,16.0,-7.6,-8.6,-6.8,-0.4,5.0,-12.6,-42.0,17.0,47.0
stud_2048,1.2,7.2,10.4,7.6,-9.8,2.6,-5.6,4.4,2.0,1.8,-4.666666666666667,13.4,-42.0,-23.0,75.0
stud_2049,-1.6,4.8,11.8,-6.6,7.0,-6.6,13.4,7.8,-13.0,-6.8,-4.666666666666667,-2.0,-24.0,35.0,-2.0
stud_2050,1.8,-8.8,2.0,6.6,12.0,-11.4,2.0,-2.8,-0.6,-10.0,-5.666666666666667,1.2,41.0,19.0,64.0
stud_2051,5.0,-17.6,-15.8,12.2,0.4,4.0,10.6,8.4,2.6,-10.6,-25.666666666666668,-3.0,-65.0,-69.0,10.0
stud_2052,-1.6,-3.0,12.4,-0.4,13.4,1.8,3.8,-1.0,7.4,-15.0,-14.0,1.0,-84.0,-29.0,-39.0
stud_2053,13.8,-5.8,1.2,-2.0,-1.6,9.6,-8.2,-14.8,-1.4,6.0,1.6666666666666667,-9.8,45.0,-41.0,-9.0
stud_2054,2.0,-15.2,2.0,10.0,6.0,14.8,-0.4,3.8,-1.2,1.8,10.0,-9.8,44.0,24.0,-11.0
stud_2055,10.0,-0.4,2.2,6.4,-6.2,-12.2,7.8,-8.6,1.2,2.8,19.0,8.2,-47.0,14.0,37.0
stud_2056,-7.8,-11.4,-5.8,-2.2,-11.8,-4.8,-3.0,-7.8,4.2,-7.8,-3.6666666666666665,-0.8,-66.0,-3.0,-81.0
stud_2057,11.0,-4.2,9.4,5.0,-10.6,-7.8,-18.4,1.8,1.0,1.8,-26.0,-14.2,76.0,7.0,31.0
stud_2058,-12.6,-1.6,0.6,2.6,11.6,-13.4,0.0,2.8,-6.2,7.2,-12.666666666666666,-10.6,60.0,-5.0,-25.0
stud_2059,-4.0,-6.2,-17.0,0.8,-10.2,13.0,3.4,-7.2,8.0,2.8,7.333333333333333,-1.4,-61.0,42.0,89.0
stud_2060,16.8,-7.2,-15.2,16.2,14.6,-17.4,2.2,6.6,14.6,1.2,1.3333333333333333,-0.4,-50.0,-9.0,69.0
stud_2061,-9.6,1.0,-12.2,-4.8,8.6,10.4,-0.2,-15.2,-14.2,1.8,-17.0,16.0,18.0,-56.0,-14.0
stud_2062,-0.8,1.2,2.4,3.4,3.2,5.8,-13.6,-12.4,7.0,-12.8,-21.333333333333332,-12.8,21.0,9.0,4.0
stud_2063,2.0,-3.2,-13.8,-0.6,10.8,10.8,4.0,-12.0,-8.6,3.8,-3.3333333333333335,1.0,-56.0,-39.0,34.0
stud_2064,-8.4,13.0,-9.0,-13.4,6.4,-8.2,12.2,4.2,-3.8,-10.0,7.333333333333333,-9.4,11.0,-49.0,77.0
stud_2065,10.6,-4.4,2.6,3.4,12.2,0.0,-5.4,-14.4,-7.8,2.4,7.666666666666667,-4.6,-14.0,-38.0,18.0
stud_2066,12.4,-5.8,1.4,-1.2,18.6,11.6,3.6,-14.8,6.4,-8.8,-10.666666666666666,17.2,0.0,-91.0,-20.0
stud_2067,-6.8,18.6,6.0,0.8,-2.0,0.4,-1.2,3.8,11.0,-9.0,-4.0,-4.2,-16.0,-5.0,17.0
stud_2068,5.0,-5.6,1.8,-2.2,-0.6,5.8,3.0,3.8,3.0,-1.2,6.666666666666667,8.6,9.0,29.0,30.0
stud_2069,-11.2,1.2,6.0,2.2,-0.6,9.2,-7.6,0.6,-0.4,11.2,10.333333333333334,-5.0,20.0,-10.0,-13.0
